COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,2216,86,87
fibonacci,2215,86,243
fibonacci,2214,242,246
fibonacci,2213,246,247
fibonacci,2212,246,497
fibonacci,2211,496,498
fibonacci,2210,499,501
fibonacci,2209,500,501
fibonacci,2208,500,501
fibonacci,2207,500,502
fibonacci,2206,501,502
fibonacci,2205,501,503
fibonacci,2204,502,503
fibonacci,2303,487,489
fibonacci,2302,488,491
fibonacci,2301,491,491
fibonacci,2300,490,495
fibonacci,2299,494,495
fibonacci,2298,495,496
fibonacci,2297,496,497
fibonacci,2296,497,498
fibonacci,2295,497,498
fibonacci,2294,497,500
fibonacci,2293,500,500
fibonacci,2292,500,505
fibonacci,2291,504,505
fibonacci,2290,505,506
fibonacci,2289,505,506
fibonacci,2288,506,506
fibonacci,2287,505,516
fibonacci,2286,515,517
fibonacci,2285,517,1577
fibonacci,2284,1576,1600
fibonacci,2283,1599,1600
fibonacci,2282,1600,1601
fibonacci,2281,1601,1602
fibonacci,2280,1601,1602
fibonacci,2279,1602,1603
fibonacci,2278,1602,1603
fibonacci,2277,1603,1604
fibonacci,2276,1604,1605
fibonacci,2275,1604,1605
fibonacci,2274,1605,1606
fibonacci,2273,1605,1611
fibonacci,2272,1611,2016
fibonacci,2271,2017,2430
fibonacci,2270,2429,2431
fibonacci,2269,2431,2431
fibonacci,2268,2430,2431
fibonacci,2267,2430,2432
fibonacci,2266,2432,2436
fibonacci,2265,2436,2437
fibonacci,2264,2436,2437
fibonacci,2263,2437,2438
fibonacci,2262,2437,2438
fibonacci,2261,2438,2475
fibonacci,2260,2474,2476
fibonacci,2259,2475,2490
fibonacci,2258,2491,2493
fibonacci,2257,2492,2493
fibonacci,2256,2492,2496
fibonacci,2255,2496,2497
fibonacci,2254,2496,2497
fibonacci,2253,2497,2498
fibonacci,2252,2498,2499
fibonacci,2251,2498,2499
fibonacci,2250,2498,2499
fibonacci,2249,2499,2503
fibonacci,2248,2502,2540
fibonacci,2247,2540,2541
fibonacci,2246,2541,2541
fibonacci,2245,2540,2578
fibonacci,2244,2577,2733
fibonacci,2243,2735,2736
fibonacci,2242,2735,2736
fibonacci,2241,2735,2737
fibonacci,2240,2736,2737
fibonacci,2239,2737,2738
fibonacci,2238,2737,2741
fibonacci,2237,2740,2742
fibonacci,2236,2741,2778
fibonacci,2235,2779,2780
fibonacci,2234,2779,2780
fibonacci,2233,2779,2780
fibonacci,2232,2779,2781
fibonacci,2231,2781,3187
fibonacci,2230,3186,3187
fibonacci,2229,3187,3188
fibonacci,2228,3187,3188
fibonacci,2227,3189,3192
fibonacci,2226,3191,3251
fibonacci,2224,3420,3422
fibonacci,2223,3421,3422
fibonacci,2222,3421,3423
fibonacci,2221,3423,3423
fibonacci,2220,3422,3424
fibonacci,2219,3268,3462
fibonacci,2218,3305,3462
fibonacci,2217,3302,3462
fibonacci,2225,3289,3541
