COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,1997,32,18
fibonacci,1993,34,19
fibonacci,1989,34,20
fibonacci,1974,20,22
fibonacci,1970,35,459
fibonacci,2001,456,458
fibonacci,1978,492,459
fibonacci,1985,473,468
fibonacci,1932,7,23
fibonacci,1914,11,23
fibonacci,1940,9,23
fibonacci,1948,11,23
fibonacci,1977,36,25
fibonacci,1944,34,28
fibonacci,1911,31,31
fibonacci,1905,32,32
fibonacci,1903,31,32
fibonacci,1904,31,33
fibonacci,1931,30,32
fibonacci,1939,30,31
fibonacci,1916,34,33
fibonacci,1951,31,32
fibonacci,1996,29,31
fibonacci,1953,23,35
fibonacci,1986,52,33
fibonacci,1928,20,36
fibonacci,1961,25,34
fibonacci,1976,44,33
fibonacci,1973,27,34
fibonacci,1920,24,36
fibonacci,1908,37,38
fibonacci,1998,30,36
fibonacci,1990,50,41
fibonacci,1936,48,46
fibonacci,1957,34,61
fibonacci,1982,71,84
fibonacci,1969,94,518
fibonacci,1967,12,21
fibonacci,1995,34,20
fibonacci,1991,36,21
fibonacci,1987,35,22
fibonacci,1979,35,22
fibonacci,1980,25,26
fibonacci,1921,13,30
fibonacci,1924,17,98
fibonacci,1955,98,96
fibonacci,1935,108,97
fibonacci,1927,107,98
fibonacci,1906,98,99
fibonacci,1949,85,97
fibonacci,1945,109,97
fibonacci,1999,95,94
fibonacci,1933,108,97
fibonacci,1919,108,98
fibonacci,1972,95,96
fibonacci,1918,101,98
fibonacci,1984,94,96
fibonacci,1956,87,98
fibonacci,1941,105,101
fibonacci,1992,98,100
fibonacci,1964,110,104
fibonacci,1912,107,109
fibonacci,1943,107,148
fibonacci,1959,147,186
fibonacci,1934,192,226
fibonacci,1923,225,495
fibonacci,1952,22,34
fibonacci,1962,42,33
fibonacci,1988,31,32
fibonacci,1926,48,35
fibonacci,1981,44,32
fibonacci,1915,37,35
fibonacci,1950,43,34
fibonacci,1960,47,33
fibonacci,1909,57,36
fibonacci,1965,50,33
fibonacci,1966,67,33
fibonacci,1937,45,34
fibonacci,1968,32,33
fibonacci,1922,51,35
fibonacci,1975,43,32
fibonacci,1994,45,31
fibonacci,1938,39,34
fibonacci,1907,36,36
fibonacci,1930,40,35
fibonacci,1902,45,36
fibonacci,1963,32,34
fibonacci,1958,43,34
fibonacci,2000,31,34
fibonacci,1954,87,38
fibonacci,1925,31,42
fibonacci,1947,39,45
fibonacci,1971,56,49
fibonacci,1946,57,90
fibonacci,1917,72,129
fibonacci,1942,134,293
fibonacci,1913,295,460
fibonacci,1910,463,724
fibonacci,1929,728,1146
fibonacci,1983,486,1603
