COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,4916,15,17
fibonacci,4911,33,18
fibonacci,4907,32,22
fibonacci,4903,35,22
fibonacci,4899,34,47
fibonacci,4896,59,47
fibonacci,4892,60,49
fibonacci,4888,60,54
fibonacci,4884,64,55
fibonacci,4880,64,55
fibonacci,4876,65,95
fibonacci,4871,105,98
fibonacci,4867,106,99
fibonacci,4863,106,138
fibonacci,4859,145,304
fibonacci,4855,310,305
fibonacci,4850,312,306
fibonacci,4846,311,740
fibonacci,4841,744,803
fibonacci,4837,807,804
fibonacci,4833,807,804
fibonacci,4918,15,17
fibonacci,4914,16,17
fibonacci,4910,18,19
fibonacci,4906,22,19
fibonacci,4902,19,29
fibonacci,4898,28,30
fibonacci,4894,29,30
fibonacci,4890,31,31
fibonacci,4819,96,96
fibonacci,4821,96,97
fibonacci,4824,98,97
fibonacci,4825,99,99
fibonacci,4828,101,99
fibonacci,4831,100,98
fibonacci,4834,101,138
fibonacci,4836,142,138
fibonacci,4840,142,407
fibonacci,4844,412,407
fibonacci,4848,413,408
fibonacci,4853,413,411
fibonacci,4857,417,411
fibonacci,4861,426,411
fibonacci,4865,411,412
fibonacci,4869,421,412
fibonacci,4874,420,427
fibonacci,4878,436,427
fibonacci,4882,437,427
fibonacci,4822,470,470
fibonacci,4895,477,466
fibonacci,4851,468,507
fibonacci,4827,511,778
fibonacci,4917,15,18
fibonacci,4913,32,19
fibonacci,4909,35,21
fibonacci,4905,35,22
fibonacci,4901,35,23
fibonacci,4897,35,23
fibonacci,4893,34,24
fibonacci,4889,36,25
fibonacci,4885,36,25
fibonacci,4881,35,29
fibonacci,4877,38,30
fibonacci,4873,38,31
fibonacci,4870,41,33
fibonacci,4866,41,34
fibonacci,4862,41,34
fibonacci,4858,40,36
fibonacci,4854,42,36
fibonacci,4849,43,37
fibonacci,4845,42,38
fibonacci,4842,42,40
fibonacci,4838,44,41
fibonacci,4835,44,41
fibonacci,4832,43,42
fibonacci,4829,45,47
fibonacci,4826,49,47
fibonacci,4823,48,47
fibonacci,4820,47,48
fibonacci,4839,46,47
fibonacci,4843,47,47
fibonacci,4847,46,48
fibonacci,4852,46,47
fibonacci,4856,46,48
fibonacci,4860,48,87
fibonacci,4864,87,91
fibonacci,4868,90,92
fibonacci,4872,90,91
fibonacci,4875,91,92
fibonacci,4879,91,92
fibonacci,4883,91,93
fibonacci,4887,30,466
fibonacci,4891,478,466
fibonacci,4915,15,20
fibonacci,4912,34,20
fibonacci,4908,35,22
fibonacci,4904,35,22
fibonacci,4886,438,860
fibonacci,4830,779,943
fibonacci,4900,85,1208
