COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci_tail,9904,16,17
fibonacci_tail,9900,17,18
fibonacci_tail,9896,18,19
fibonacci_tail,9888,20,21
fibonacci_tail,9885,21,22
fibonacci_tail,9864,26,27
fibonacci_tail,9860,26,28
fibonacci_tail,9848,30,31
fibonacci_tail,9908,86,35
fibonacci_tail,9895,33,19
fibonacci_tail,9881,22,21
fibonacci_tail,9884,19,21
fibonacci_tail,9877,21,22
fibonacci_tail,9857,34,26
fibonacci_tail,9853,33,27
fibonacci_tail,9837,34,29
fibonacci_tail,9830,36,32
fibonacci_tail,9818,36,35
fibonacci_tail,9815,36,35
fibonacci_tail,9831,40,36
fibonacci_tail,9814,38,37
fibonacci_tail,9897,34,20
fibonacci_tail,9886,33,22
fibonacci_tail,9883,33,22
fibonacci_tail,9875,35,25
fibonacci_tail,9871,34,25
fibonacci_tail,9847,38,31
fibonacci_tail,9844,37,31
fibonacci_tail,9840,36,32
fibonacci_tail,9836,36,32
fibonacci_tail,9820,37,36
fibonacci_tail,9834,39,38
fibonacci_tail,9882,38,27
fibonacci_tail,9874,39,29
fibonacci_tail,9858,40,32
fibonacci_tail,9854,39,33
fibonacci_tail,9910,33,35
fibonacci_tail,9906,50,35
fibonacci_tail,9902,48,35
fibonacci_tail,9898,67,35
fibonacci_tail,9905,50,35
fibonacci_tail,9901,48,36
fibonacci_tail,9893,49,38
fibonacci_tail,9889,72,38
fibonacci_tail,9867,49,41
fibonacci_tail,9863,51,44
fibonacci_tail,9859,79,44
fibonacci_tail,9829,60,56
fibonacci_tail,9823,97,60
fibonacci_tail,9817,63,62
fibonacci_tail,9909,53,56
fibonacci_tail,9899,48,38
fibonacci_tail,9873,50,44
fibonacci_tail,9869,76,44
fibonacci_tail,9865,52,45
fibonacci_tail,9861,54,45
fibonacci_tail,9849,81,46
fibonacci_tail,9827,55,52
fibonacci_tail,9824,86,52
fibonacci_tail,9841,65,55
fibonacci_tail,9816,58,57
fibonacci_tail,9825,61,60
fibonacci_tail,9907,50,55
fibonacci_tail,9845,67,66
fibonacci_tail,9821,66,68
fibonacci_tail,9890,77,40
fibonacci_tail,9887,76,40
fibonacci_tail,9870,54,45
fibonacci_tail,9862,58,50
fibonacci_tail,9850,56,52
fibonacci_tail,9846,58,53
fibonacci_tail,9842,59,53
fibonacci_tail,9872,65,45
fibonacci_tail,9856,49,53
fibonacci_tail,9839,57,59
fibonacci_tail,9835,85,59
fibonacci_tail,9876,60,57
fibonacci_tail,9812,61,61
fibonacci_tail,9903,70,55
fibonacci_tail,9813,60,61
fibonacci_tail,9811,64,65
fibonacci_tail,9828,103,64
fibonacci_tail,9880,62,69
fibonacci_tail,9894,71,69
fibonacci_tail,9866,80,87
fibonacci_tail,9891,115,128
fibonacci_tail,9833,146,205
fibonacci_tail,9826,202,239
fibonacci_tail,9855,207,239
fibonacci_tail,9868,238,264
fibonacci_tail,9843,230,269
fibonacci_tail,9852,254,295
fibonacci_tail,9822,143,307
fibonacci_tail,9819,264,532
fibonacci_tail,9851,452,612
fibonacci_tail,9832,558,821
fibonacci_tail,9878,503,930
fibonacci_tail,9838,501,934
fibonacci_tail,9879,561,985
fibonacci_tail,9892,361,1498
