Attaching 6 probes...
COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,3762,111,112
fibonacci,3779,110,111
fibonacci,3814,108,110
fibonacci,3818,108,109
fibonacci,3827,107,108
fibonacci,3845,105,106
fibonacci,3849,105,106
fibonacci,3857,104,105
fibonacci,3791,110,111
fibonacci,3848,105,106
fibonacci,3793,110,111
fibonacci,3801,110,111
fibonacci,3831,107,108
fibonacci,3858,104,105
fibonacci,3773,111,113
fibonacci,3781,111,112
fibonacci,3786,111,112
fibonacci,3806,110,111
fibonacci,3844,106,107
fibonacci,3811,110,111
fibonacci,3855,105,106
fibonacci,3804,110,111
fibonacci,3822,108,110
fibonacci,3832,108,109
fibonacci,3850,106,107
fibonacci,3853,106,107
fibonacci,3771,112,113
fibonacci,3778,112,113
fibonacci,3796,111,112
fibonacci,3807,111,112
fibonacci,3813,110,111
fibonacci,3816,110,111
fibonacci,3785,112,113
fibonacci,3820,109,110
fibonacci,3821,109,110
fibonacci,3828,109,110
fibonacci,3794,111,113
fibonacci,3859,106,107
fibonacci,3776,113,114
fibonacci,3783,112,113
fibonacci,3839,108,109
fibonacci,3861,106,107
fibonacci,3770,113,114
fibonacci,3834,109,110
fibonacci,3825,109,111
fibonacci,3833,109,110
fibonacci,3838,108,109
fibonacci,3843,108,109
fibonacci,3777,113,114
fibonacci,3795,112,113
fibonacci,3799,112,113
fibonacci,3826,110,111
fibonacci,3810,112,113
fibonacci,3815,111,112
fibonacci,3830,110,111
fibonacci,3840,109,110
fibonacci,3802,112,113
fibonacci,3817,111,112
fibonacci,3824,110,111
fibonacci,3841,109,110
fibonacci,3852,108,109
fibonacci,3789,113,114
fibonacci,3790,113,114
fibonacci,3797,113,114
fibonacci,3809,112,114
fibonacci,3812,112,113
fibonacci,3819,112,113
fibonacci,3837,110,111
fibonacci,3846,109,110
fibonacci,3851,108,110
fibonacci,3775,115,116
fibonacci,3800,113,114
fibonacci,3860,108,109
fibonacci,3769,115,116
fibonacci,3774,115,116
fibonacci,3780,115,116
fibonacci,3798,114,115
fibonacci,3803,114,115
fibonacci,3805,114,115
fibonacci,3787,115,116
fibonacci,3829,111,112
fibonacci,3847,110,111
fibonacci,3856,109,110
fibonacci,3763,116,117
fibonacci,3766,116,117
fibonacci,3782,115,116
fibonacci,3808,114,115
fibonacci,3765,116,118
fibonacci,3767,116,118
fibonacci,3768,116,118
fibonacci,3784,115,117
fibonacci,3788,115,117
fibonacci,3836,112,113
fibonacci,3842,111,112
fibonacci,3854,110,111
fibonacci,3835,112,179
fibonacci,3764,183,291
fibonacci,3792,288,396
fibonacci,3823,392,844
fibonacci,3772,847,2031
