Attaching 6 probes...
COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,2782,25,26
fibonacci,2686,1,36
fibonacci,2738,16,32
fibonacci,2703,5,34
fibonacci,2751,29,30
fibonacci,2715,9,34
fibonacci,2742,17,31
fibonacci,2697,3,35
fibonacci,2781,25,27
fibonacci,2772,22,28
fibonacci,2769,23,28
fibonacci,2779,24,27
fibonacci,2768,22,28
fibonacci,2755,29,30
fibonacci,2728,14,33
fibonacci,2756,19,30
fibonacci,2773,24,28
fibonacci,2746,18,31
fibonacci,2735,31,32
fibonacci,2740,16,32
fibonacci,2717,11,34
fibonacci,2720,12,34
fibonacci,2744,16,31
fibonacci,2774,26,28
fibonacci,2737,16,32
fibonacci,2725,13,33
fibonacci,2752,19,31
fibonacci,2709,9,34
fibonacci,2695,3,36
fibonacci,2700,4,35
fibonacci,2730,1,33
fibonacci,2758,21,30
fibonacci,2763,21,29
fibonacci,2731,32,33
fibonacci,2705,7,35
fibonacci,2762,21,30
fibonacci,2719,11,34
fibonacci,2718,33,34
fibonacci,2767,22,29
fibonacci,2723,12,34
fibonacci,2710,9,35
fibonacci,2701,6,35
fibonacci,2764,1,29
fibonacci,2785,25,27
fibonacci,2777,25,28
fibonacci,2750,19,31
fibonacci,2748,18,31
fibonacci,2739,31,32
fibonacci,2754,20,31
fibonacci,2776,24,28
fibonacci,2702,6,35
fibonacci,2741,18,32
fibonacci,2726,32,34
fibonacci,2736,15,33
fibonacci,2745,19,32
fibonacci,2733,16,33
fibonacci,2784,26,27
fibonacci,2714,33,35
fibonacci,2775,24,28
fibonacci,2783,26,27
fibonacci,2727,13,34
fibonacci,2743,31,32
fibonacci,2724,14,34
fibonacci,2707,9,35
fibonacci,2711,9,35
fibonacci,2693,3,36
fibonacci,2770,28,29
fibonacci,2694,3,36
fibonacci,2780,25,28
fibonacci,2698,5,36
fibonacci,2722,33,34
fibonacci,2732,15,34
fibonacci,2704,8,36
fibonacci,2749,20,32
fibonacci,2687,2,37
fibonacci,2771,24,29
fibonacci,2757,22,31
fibonacci,2708,8,35
fibonacci,2690,2,37
fibonacci,2734,16,34
fibonacci,2692,3,37
fibonacci,2706,9,36
fibonacci,2765,23,30
fibonacci,2689,3,37
fibonacci,2713,12,35
fibonacci,2712,11,35
fibonacci,2721,14,35
fibonacci,2760,29,31
fibonacci,2761,23,31
fibonacci,2766,29,30
fibonacci,2699,6,37
fibonacci,2729,16,34
fibonacci,2778,27,29
fibonacci,2753,21,32
fibonacci,2691,3,37
fibonacci,2759,22,100
fibonacci,2716,13,146
fibonacci,2688,2,148
fibonacci,2747,142,609
fibonacci,2696,115,1348
