COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,2215,80,81
fibonacci,2214,80,81
fibonacci,2213,82,82
fibonacci,2212,81,83
fibonacci,2211,82,83
fibonacci,2210,83,83
fibonacci,2209,82,84
fibonacci,2208,84,84
fibonacci,2207,83,84
fibonacci,2206,83,84
fibonacci,2205,84,85
fibonacci,2204,84,85
fibonacci,2203,85,86
fibonacci,2202,86,87
fibonacci,2201,86,87
fibonacci,2200,87,87
fibonacci,2199,86,88
fibonacci,2198,87,88
fibonacci,2197,88,88
fibonacci,2196,87,88
fibonacci,2195,87,89
fibonacci,2194,89,89
fibonacci,2193,89,90
fibonacci,2192,90,91
fibonacci,2191,90,91
fibonacci,2190,90,91
fibonacci,2189,91,151
fibonacci,2188,150,152
fibonacci,2187,152,152
fibonacci,2186,151,152
fibonacci,2185,151,153
fibonacci,2184,153,153
fibonacci,2183,152,153
fibonacci,2182,153,155
fibonacci,2181,155,155
fibonacci,2180,154,155
fibonacci,2179,154,155
fibonacci,2178,155,156
fibonacci,2177,155,561
fibonacci,2176,561,561
fibonacci,2175,560,562
fibonacci,2174,561,562
fibonacci,2173,562,562
fibonacci,2172,563,564
fibonacci,2171,563,564
fibonacci,2170,564,565
fibonacci,2169,564,565
fibonacci,2168,564,565
fibonacci,2167,565,566
fibonacci,2166,565,566
fibonacci,2165,565,566
fibonacci,2164,565,567
fibonacci,2163,567,567
fibonacci,2162,566,567
fibonacci,2161,566,568
fibonacci,2160,567,568
fibonacci,2159,568,569
fibonacci,2158,569,570
fibonacci,2157,569,570
fibonacci,2156,569,570
fibonacci,2155,569,571
fibonacci,2154,570,571
fibonacci,2153,571,571
fibonacci,2152,570,572
fibonacci,2151,571,572
fibonacci,2150,571,572
fibonacci,2149,571,573
fibonacci,2148,573,574
fibonacci,2147,573,574
fibonacci,2146,573,674
fibonacci,2145,674,674
fibonacci,2144,673,674
fibonacci,2143,673,675
fibonacci,2142,674,675
fibonacci,2141,674,676
fibonacci,2140,675,676
fibonacci,2139,675,676
fibonacci,2138,675,677
fibonacci,2137,677,678
fibonacci,2136,677,678
fibonacci,2135,677,679
fibonacci,2134,678,679
fibonacci,2133,678,680
fibonacci,2132,679,680
fibonacci,2131,679,680
fibonacci,2130,679,681
fibonacci,2129,680,681
fibonacci,2128,680,681
fibonacci,2127,681,683
fibonacci,2126,730,1830
fibonacci,2125,1829,1830
fibonacci,2124,1828,1831
fibonacci,2123,1830,1831
fibonacci,2122,1830,1831
fibonacci,2121,1830,1832
fibonacci,2120,1830,1832
fibonacci,2119,1831,1832
fibonacci,2118,1831,1928
fibonacci,2117,1927,1929
fibonacci,2116,1928,1930
