COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci,3729,15,16
fibonacci,3724,32,17
fibonacci,3720,31,18
fibonacci,3716,31,18
fibonacci,3712,31,18
fibonacci,3708,30,19
fibonacci,3704,32,20
fibonacci,3700,31,21
fibonacci,3696,32,21
fibonacci,3688,30,22
fibonacci,3684,32,23
fibonacci,3680,32,24
fibonacci,3676,32,24
fibonacci,3673,31,24
fibonacci,3669,30,25
fibonacci,3665,32,26
fibonacci,3661,32,27
fibonacci,3657,32,27
fibonacci,3651,31,28
fibonacci,3645,32,30
fibonacci,3641,33,31
fibonacci,3642,63,31
fibonacci,3692,59,28
fibonacci,3648,61,30
fibonacci,3653,33,30
fibonacci,3637,31,31
fibonacci,3730,15,16
fibonacci,3721,16,18
fibonacci,3717,18,18
fibonacci,3713,17,19
fibonacci,3709,18,19
fibonacci,3698,20,21
fibonacci,3690,20,22
fibonacci,3686,23,23
fibonacci,3682,22,24
fibonacci,3670,23,24
fibonacci,3666,43,25
fibonacci,3662,25,26
fibonacci,3654,26,27
fibonacci,3705,24,26
fibonacci,3633,33,31
fibonacci,3702,36,28
fibonacci,3726,45,26
fibonacci,3678,34,29
fibonacci,3668,34,29
fibonacci,3674,33,29
fibonacci,3640,32,32
fibonacci,3658,30,31
fibonacci,3634,32,32
fibonacci,3636,32,32
fibonacci,3639,33,32
fibonacci,3694,28,456
fibonacci,3731,15,16
fibonacci,3727,30,17
fibonacci,3722,33,18
fibonacci,3718,32,19
fibonacci,3714,32,19
fibonacci,3710,31,19
fibonacci,3697,32,21
fibonacci,3693,31,22
fibonacci,3685,33,23
fibonacci,3677,32,24
fibonacci,3672,31,24
fibonacci,3660,31,26
fibonacci,3656,31,27
fibonacci,3652,31,27
fibonacci,3650,30,28
fibonacci,3689,37,28
fibonacci,3664,62,30
fibonacci,3644,62,31
fibonacci,3647,60,30
fibonacci,3701,61,28
fibonacci,3681,61,29
fibonacci,3638,61,31
fibonacci,3706,39,91
fibonacci,3635,94,197
fibonacci,3719,32,19
fibonacci,3715,32,19
fibonacci,3711,31,20
fibonacci,3707,32,20
fibonacci,3703,33,22
fibonacci,3699,33,22
fibonacci,3695,32,22
fibonacci,3691,31,23
fibonacci,3687,32,23
fibonacci,3683,33,25
fibonacci,3679,33,25
fibonacci,3675,32,25
fibonacci,3671,31,26
fibonacci,3667,32,26
fibonacci,3659,33,28
fibonacci,3649,32,30
fibonacci,3646,32,30
fibonacci,3728,57,26
fibonacci,3732,41,26
fibonacci,3723,60,27
fibonacci,3655,62,30
fibonacci,3725,53,27
fibonacci,3663,35,132
fibonacci,3643,32,1132
