Attaching 6 probes...
COMM,PID,RUNQ_MS,TOTAL_MS
fibonacci_tail,4569,0,50
fibonacci_tail,4608,42,47
fibonacci_tail,4586,47,49
fibonacci_tail,4574,3,50
fibonacci_tail,4577,2,49
fibonacci_tail,4575,1,50
fibonacci_tail,4665,38,41
fibonacci_tail,4611,43,47
fibonacci_tail,4568,1,51
fibonacci_tail,4571,2,51
fibonacci_tail,4580,4,50
fibonacci_tail,4572,0,51
fibonacci_tail,4583,6,50
fibonacci_tail,4576,6,51
fibonacci_tail,4579,8,51
fibonacci_tail,4585,7,50
fibonacci_tail,4614,44,48
fibonacci_tail,4582,9,51
fibonacci_tail,4589,9,50
fibonacci_tail,4584,10,51
fibonacci_tail,4591,11,50
fibonacci_tail,4587,12,51
fibonacci_tail,4593,13,50
fibonacci_tail,4588,13,51
fibonacci_tail,4595,16,50
fibonacci_tail,4597,14,50
fibonacci_tail,4601,17,50
fibonacci_tail,4600,16,50
fibonacci_tail,4604,48,50
fibonacci_tail,4605,48,50
fibonacci_tail,4616,23,49
fibonacci_tail,4609,19,49
fibonacci_tail,4622,27,48
fibonacci_tail,4612,46,49
fibonacci_tail,4626,29,48
fibonacci_tail,4618,23,49
fibonacci_tail,4630,30,48
fibonacci_tail,4623,26,49
fibonacci_tail,4634,32,48
fibonacci_tail,4627,28,49
fibonacci_tail,4640,33,47
fibonacci_tail,4631,30,48
fibonacci_tail,4644,35,47
fibonacci_tail,4636,31,48
fibonacci_tail,4648,37,46
fibonacci_tail,4639,33,48
fibonacci_tail,4653,39,46
fibonacci_tail,4643,34,48
fibonacci_tail,4657,40,46
fibonacci_tail,4647,35,47
fibonacci_tail,4661,42,45
fibonacci_tail,4573,4,54
fibonacci_tail,4652,36,47
fibonacci_tail,4656,38,46
fibonacci_tail,4659,40,46
fibonacci_tail,4667,42,45
fibonacci_tail,4581,10,55
fibonacci_tail,4664,41,46
fibonacci_tail,4635,8,50
fibonacci_tail,4594,51,54
fibonacci_tail,4650,9,48
fibonacci_tail,4590,17,54
fibonacci_tail,4592,19,54
fibonacci_tail,4596,21,54
fibonacci_tail,4599,22,54
fibonacci_tail,4620,32,52
fibonacci_tail,4625,34,52
fibonacci_tail,4602,54,55
fibonacci_tail,4606,53,55
fibonacci_tail,4610,53,55
fibonacci_tail,4613,53,55
fibonacci_tail,4615,52,55
fibonacci_tail,4619,52,54
fibonacci_tail,4621,52,54
fibonacci_tail,4624,53,54
fibonacci_tail,4628,52,54
fibonacci_tail,4638,51,53
fibonacci_tail,4633,39,54
fibonacci_tail,4637,41,53
fibonacci_tail,4642,42,53
fibonacci_tail,4645,43,52
fibonacci_tail,4651,44,52
fibonacci_tail,4655,46,51
fibonacci_tail,4660,47,51
fibonacci_tail,4663,49,50
fibonacci_tail,4603,49,57
fibonacci_tail,4617,54,56
fibonacci_tail,4607,54,57
fibonacci_tail,4646,54,56
fibonacci_tail,4649,54,56
fibonacci_tail,4654,53,55
fibonacci_tail,4658,53,55
fibonacci_tail,4662,52,54
fibonacci_tail,4666,50,53
fibonacci_tail,4632,52,66
fibonacci_tail,4570,6,171
fibonacci_tail,4598,52,172
fibonacci_tail,4641,105,178
fibonacci_tail,4629,96,604
fibonacci_tail,4578,67,1402
